Burgenland	Kärnten	Niederösterreich	Oberösterreich	Salzburg	Steiermark	Tirol	Vorarlberg	Wien	Summe	Timestamp
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2	2020-03-05 00:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2	2020-03-06 00:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2	2020-03-07 00:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	2020-03-08 11:45:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	2020-03-09 15:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5	2020-03-10 15:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	6	2020-03-11 15:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	6	2020-03-12 15:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	6	2020-03-13 15:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	7	2020-03-14 15:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	10	2020-03-15 15:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	22	2020-03-16 15:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	23	2020-03-17 15:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	27	2020-03-18 15:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	31	2020-03-19 08:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	43	2020-03-20 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	52	2020-03-21 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	59	2020-03-22 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	96	2020-03-23 10:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	156	2020-03-24 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	226	2020-03-25 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	329	2020-03-26 09:30:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	481	2020-03-27 09:30:00
